1   2   3   4   5   6   7   8   9
                                 
2   9   1   3   4   5   6   7   8
                                 
3   1   9   8   2   4   5   6   7
                                 
9   7   8   1   3   2   4   5   6
                                 
4   3   6   7   8   1   2   9   5
                                 
6   8   5   9   1   7   3   2   4
                                 
5   6   7   2   9   3   8   4   1
                                 
7   4   2   5   6   8   9   1   3
                                 
8   5   4   6   7   9   1   3   2
